county_id,amt,cont_cnt
15009,739790.0,5508
16001,1217218.0,10978
16003,22854.0,338
16005,106461.0,1306
16007,7559.0,72
16009,14056.0,185
16011,301306.0,1280
16013,515179.0,1602
16015,270195.0,2090
16017,224385.0,1120
16019,273950.0,1249
16021,9960.0,120
16023,530.0,5
16025,13388.0,42
16027,195611.0,2387
16029,5951.0,41
16031,179396.0,476
16033,0.0,0
16035,8309.0,83
16037,4039.0,22
16039,88325.0,810
16041,2882.0,40
16043,25838.0,278
16045,256155.0,1541
16047,65564.0,306
16049,9644.0,144
16051,106900.0,718
16053,171530.0,1040
16055,341248.0,3643
16057,151323.0,901
16059,11824.0,119
16061,9277.0,136
16063,66046.0,282
16065,72501.0,349
16067,143681.0,415
16069,47852.0,573
16071,4543.0,20
16073,25354.0,278
16075,43793.0,402
16077,64393.0,332
16079,15856.0,272
16081,66236.0,298
16083,150350.0,1243
16085,25402.0,406
16087,16878.0,103
17001,156989.0,745
17003,9065.0,155
17005,68985.0,579
17007,412473.0,4723
17009,27081.0,118
17011,134375.0,988
17013,4848.0,46
17015,81874.0,695
17017,19578.0,231
17019,460927.0,5254
17021,84418.0,636
17023,52421.0,568
17025,13959.0,302
17027,102930.0,963
17029,70659.0,781
17031,43171072.0,181810
17033,14336.0,245
17035,140070.0,756
17037,514941.0,3518
17039,32015.0,326
17041,12702.0,144
17043,6647940.0,35699
17045,39862.0,397
17047,2372.0,25
17049,148014.0,425
17051,26306.0,240
17053,36235.0,533
17055,81138.0,271
17057,41405.0,570
17059,22083.0,148
17061,9248.0,150
17063,270275.0,1590
17065,35852.0,185
17067,24232.0,298
17069,4040.0,49
17071,6868.0,50
17073,86670.0,935
17075,84843.0,834
17077,174384.0,2039
17079,105250.0,390
17081,98115.0,497
17083,70698.0,486
17085,73428.0,812
17087,42585.0,923
17089,2701505.0,18938
17091,254692.0,1887
17093,616701.0,6983
17095,99397.0,1008
17097,13680979.0,52479
17099,160294.0,1809
17101,12108.0,134
17103,163906.0,1536
17105,94783.0,910
17107,52493.0,709
17109,52855.0,499
17111,2263547.0,13776
17113,535810.0,4547
17115,267757.0,2778
17117,140603.0,1360
17119,748118.0,4984
17121,28604.0,306
17123,102803.0,1292
17125,35352.0,510
17127,6865.0,76
17129,15522.0,205
17131,105324.0,1024
17133,145385.0,921
17135,66269.0,669
17137,53982.0,497
17139,27409.0,239
17141,219551.0,1888
17143,803900.0,6054
17145,41294.0,306
17147,78933.0,887
17149,10973.0,129
17151,7883.0,81
17153,5241.0,84
17155,81095.0,474
17157,78734.0,330
17159,17896.0,352
17161,253367.0,2462
17163,727745.0,4767
17165,90817.0,376
17167,1017196.0,7105
17169,26212.0,286
17171,36786.0,360
17173,32456.0,262
17175,18890.0,138
17177,90371.0,739
17179,236728.0,2573
17181,70770.0,1352
17183,48543.0,455
17185,17058.0,190
17187,78447.0,912
17189,34525.0,264
17191,25309.0,275
17193,13753.0,112
17195,173648.0,1562
17197,1814463.0,16354
17199,409621.0,2646
17201,550275.0,6293
17203,141107.0,1176
18001,73947.0,334
18003,857720.0,6504
18005,333199.0,1554
18007,21820.0,687
18009,33081.0,602
18011,7405205.0,8378
18013,496765.0,3417
18015,121584.0,1198
18017,72734.0,665
18019,259757.0,2691
18021,76674.0,748
18023,35592.0,297
18025,33256.0,314
18027,11710.0,158
18029,49050.0,546
18031,58348.0,441
18033,66130.0,684
